dsb_sense_id|slownet_synset_id
8267964|eng-30-00075021-v
8259830|eng-30-00075421-v
8259833|eng-30-00075421-v
8284884|eng-30-00075790-n
8284883|eng-30-00075790-n
8259831|eng-30-00076114-v
8260171|eng-30-00076114-v
8259833|eng-30-00076114-v
8267967|eng-30-00076114-v
8259814|eng-30-00076114-v
8267964|eng-30-00076114-v
8303389|eng-30-00076196-n
8304364|eng-30-00076196-n
8297559|eng-30-00076196-n
8304363|eng-30-00076196-n
470|eng-30-00076400-v
547|eng-30-00076400-v
2205|eng-30-00076400-v
8273470|eng-30-00077981-n
8273469|eng-30-00077981-n
47380|eng-30-00078536-n
83281|eng-30-00078536-n
34355|eng-30-00078576-a
8276447|eng-30-00078576-a
39117|eng-30-00078576-a
8276454|eng-30-00078576-a
8276450|eng-30-00078576-a
30564|eng-30-00078851-a
8274817|eng-30-00078851-a
30744|eng-30-00078851-a
8277394|eng-30-00078851-a
8277395|eng-30-00078851-a
38140|eng-30-00078851-a
8274559|eng-30-00078851-a
38726|eng-30-00078851-a
8275021|eng-30-00078851-a
8274817|eng-30-00079629-a
8277394|eng-30-00079629-a
40289|eng-30-00080039-b
45153|eng-30-00080039-b
8274817|eng-30-00080357-a
8277394|eng-30-00080357-a
45477|eng-30-00081591-b
8208164|eng-30-00081591-b
25698|eng-30-00082034-a
8270024|eng-30-00082034-a
26108|eng-30-00082034-a
36301|eng-30-00082034-a
8270558|eng-30-00082034-a
8281173|eng-30-00082148-b
8280824|eng-30-00082148-b
8191081|eng-30-00082766-a
8269902|eng-30-00082766-a
8269246|eng-30-00082766-a
8269906|eng-30-00082766-a
30557|eng-30-00082766-a
8269903|eng-30-00082766-a
8289846|eng-30-00083260-n
8289847|eng-30-00083260-n
8302216|eng-30-00083448-n
8302279|eng-30-00083448-n
8271993|eng-30-00084022-a
8271996|eng-30-00084022-a
8271995|eng-30-00084022-a
8273520|eng-30-00084022-a
8269119|eng-30-00084223-b
8269141|eng-30-00084223-b
8269901|eng-30-00084661-a
8269903|eng-30-00084661-a
40384|eng-30-00085002-b
40387|eng-30-00085002-b
8364336|eng-30-00085002-b
8298494|eng-30-00085678-n
8283689|eng-30-00085678-n
8283690|eng-30-00085678-n
8298496|eng-30-00085678-n
8298495|eng-30-00085678-n
8279638|eng-30-00085811-b
8280393|eng-30-00085811-b
8313331|eng-30-00085829-n
8298496|eng-30-00085829-n
8312589|eng-30-00086140-n
8312588|eng-30-00086140-n
20364|eng-30-00086210-a
8218177|eng-30-00086210-a
8269779|eng-30-00086341-a
8269783|eng-30-00086341-a
8269787|eng-30-00086341-a
8269791|eng-30-00086341-a
8203737|eng-30-00087542-b
8282330|eng-30-00087542-b
8258533|eng-30-00087736-v
8258534|eng-30-00087736-v
45244|eng-30-00087916-b
45599|eng-30-00087916-b
45170|eng-30-00088655-b
8198352|eng-30-00088655-b
8260982|eng-30-00088713-v
8259615|eng-30-00088713-v
8283758|eng-30-00088725-n
8283759|eng-30-00088725-n
41555|eng-30-00088931-b
42640|eng-30-00088931-b
8281368|eng-30-00088931-b
8281375|eng-30-00088931-b
8281373|eng-30-00088931-b
42839|eng-30-00088931-b
8281369|eng-30-00088931-b
45244|eng-30-00088931-b
8280718|eng-30-00088931-b
45599|eng-30-00088931-b
46362|eng-30-00088931-b
78865|eng-30-00089027-n
8308596|eng-30-00089027-n
8308597|eng-30-00089027-n
8307117|eng-30-00089027-n
8258384|eng-30-00089324-v
8258386|eng-30-00089324-v
8258385|eng-30-00089324-v
8258387|eng-30-00089324-v
8271239|eng-30-00089550-a
8270991|eng-30-00089550-a
25817|eng-30-00089550-a
8272089|eng-30-00089550-a
26067|eng-30-00089550-a
26172|eng-30-00089550-a
8273076|eng-30-00089550-a
8273077|eng-30-00089550-a
39350|eng-30-00089550-a
8269353|eng-30-00089550-a
8282112|eng-30-00090228-b
8281279|eng-30-00090228-b
4010|eng-30-00090888-v
5146|eng-30-00090888-v
8270174|eng-30-00091311-a
8270175|eng-30-00091311-a
8270172|eng-30-00091764-a
8270174|eng-30-00091764-a
8270175|eng-30-00091764-a
8280451|eng-30-00091778-b
8280340|eng-30-00091778-b
45615|eng-30-00091964-b
45614|eng-30-00091964-b
8206798|eng-30-00092690-v
4075|eng-30-00092690-v
8277357|eng-30-00093556-a
8277358|eng-30-00093556-a
844|eng-30-00094460-v
8258045|eng-30-00094460-v
8266594|eng-30-00094460-v
8268922|eng-30-00094460-v
6973|eng-30-00094460-v
8258044|eng-30-00094460-v
8203874|eng-30-00094460-v
7350|eng-30-00094460-v
8266593|eng-30-00094460-v
7718|eng-30-00094460-v
8243557|eng-30-00094460-v
46314|eng-30-00094545-b
8204629|eng-30-00094545-b
8312912|eng-30-00094788-n
8312911|eng-30-00094788-n
79575|eng-30-00095121-n
90823|eng-30-00095121-n
8280297|eng-30-00096333-b
8280298|eng-30-00096333-b
8280297|eng-30-00096636-b
8280298|eng-30-00096636-b
8269995|eng-30-00096815-a
8272206|eng-30-00096815-a
8278245|eng-30-00097022-a
8278243|eng-30-00097022-a
8295194|eng-30-00097504-n
8296274|eng-30-00097504-n
8295945|eng-30-00097504-n
4554|eng-30-00098083-v
4553|eng-30-00098083-v
8724|eng-30-00099721-v
9097|eng-30-00099721-v
8295182|eng-30-00100543-n
8295183|eng-30-00100543-n
8258240|eng-30-00100551-v
8258241|eng-30-00100551-v
12996|eng-30-00100634-a
8190522|eng-30-00100634-a
13280|eng-30-00101609-a
25938|eng-30-00101609-a
8271311|eng-30-00101800-a
8271316|eng-30-00101800-a
8271318|eng-30-00101800-a
8271312|eng-30-00101800-a
8271317|eng-30-00101800-a
8364355|eng-30-00102457-n
8364356|eng-30-00102457-n
69001|eng-30-00102457-n
42231|eng-30-00102736-b
12815|eng-30-00102736-b
8257678|eng-30-00102974-v
8257608|eng-30-00102974-v
40097|eng-30-00103859-b
42268|eng-30-00103859-b
42230|eng-30-00104345-b
12831|eng-30-00104345-b
42230|eng-30-00104661-b
12831|eng-30-00104661-b
8273942|eng-30-00105023-a
8269604|eng-30-00105023-a
8270253|eng-30-00106020-a
8269179|eng-30-00106020-a
8270253|eng-30-00106277-a
8269179|eng-30-00106277-a
8280173|eng-30-00106316-b
8280174|eng-30-00106316-b
8269593|eng-30-00106456-a
8273305|eng-30-00106456-a
8269955|eng-30-00106456-a
8269949|eng-30-00106456-a
8273306|eng-30-00106456-a
8271197|eng-30-00106821-a
8273779|eng-30-00106821-a
28417|eng-30-00106821-a
8269597|eng-30-00106821-a
8257231|eng-30-00106921-b
8257232|eng-30-00106921-b
8279442|eng-30-00107230-b
8279417|eng-30-00107230-b
8279445|eng-30-00107230-b
8269588|eng-30-00107384-a
26289|eng-30-00107384-a
8280150|eng-30-00107987-b
43869|eng-30-00107987-b
8280151|eng-30-00107987-b
44799|eng-30-00107987-b
8321215|eng-30-00108595-a
8321216|eng-30-00108595-a
44842|eng-30-00108647-b
8282141|eng-30-00108647-b
44846|eng-30-00108647-b
8282140|eng-30-00108647-b
45680|eng-30-00108647-b
